RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Estonian  2022,est,est,est,Estonian2022Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteuse evangeelium,Markuse evangeelium,Luuka evangeelium,Johannese evangeelium,Apostlite teod,Roomlastele,1. Korintlastele,2. Korintlastele,Galaatlastele,Efeslastele,Filiplastele,Koloslastele,1. Tessalooniklastele,2. Tessalooniklastele,1. Timoteosele,2. Timoteosele,Tiitusele,Fileemonile,Heebrealastele,Jaakobuse kiri,1. Peetruse kiri,2. Peetruse kiri,1. Johannese kiri,2. Johannese kiri,3. Johannese kiri,Juuda kiri,Ilmutuse raamat
Estonian,est,est,est,EstonianBible.xml,1,1. Moosese raamat,2. Moosese raamat,3. Moosese raamat,4. Moosese raamat,5. Moosese raamat,Joosua,Kohtumõistjate raamat,Rutt,1. Saamueli raamat,2. Saamueli raamat,1. Kuningate raamat,2. Kuningate raamat,1. Ajaraamat,2. Ajaraamat,Esra,Nehemja,Ester,Iiob,Psalmid,Õpetussõnad,Koguja,Ülemlaul,Jesaja,Jeremija,Nutulaulud,Hesekiel,Taaniel,Hoosea,Joel,Amos,Obadja,Joona,Miika,Nahum,Habakuk,Sefanja,Haggai,Sakarja,Malaki,Matteuse evangeelium,Markuse evangeelium,Luuka evangeelium,Johannese evangeelium,Apostlite teod,Roomlastele,1. Korintlastele,2. Korintlastele,Galaatlastele,Efeslastele,Filiplastele,Koloslastele,1. Tessalooniklastele,2. Tessalooniklastele,1. Timoteosele,2. Timoteosele,Tiitusele,Fileemonile,Heebrealastele,Jaakobuse kiri,1. Peetruse kiri,2. Peetruse kiri,1. Johannese kiri,2. Johannese kiri,3. Johannese kiri,Juuda kiri,Ilmutuse raamat
Estonian EEP,est,est,est,EstonianEEPBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteuse evangeelium,Markuse evangeelium,Luuka evangeelium,Johannese evangeelium,Apostlite teod,Roomlastele,1. Korintlastele,2. Korintlastele,Galaatlastele,Efeslastele,Filiplastele,Koloslastele,1. Tessalooniklastele,2. Tessalooniklastele,1. Timoteosele,2. Timoteosele,Tiitusele,Fileemonile,Heebrealastele,Jaakobuse kiri,1. Peetruse kiri,2. Peetruse kiri,1. Johannese kiri,2. Johannese kiri,3. Johannese kiri,Juuda kiri,Ilmutuse raamat
Ewe  1913,ewe,ewe,ewe,Ewe1913Bible.xml,1,Genesis,Exodus,Leviticus,Numbers,Deuteronomy,Yosua,Agbalẽwo (Judges),Rute,1 Samuel,2 Samuel,1 Dzikpɔla (Kings),2 Dzikpɔla,1 Kronika,2 Kronika,Ezra,Nehemia,Estere,Yob,Ʋoŋkɔwo (Psalms),Nyanyuiwo (Proverbs),Kɔkɔe (Ecclesiastes),Agbenyawo (Song of Songs),Yesaya,Yeremia,Agbenyawo Yeremia (Lamentations),Ezekiel,Daniel,Hosea,Yoel,Amos,Obadia,Yona,Mika,Nahum,Habakuku,Sefania,Hagai,Zekaria,Malaki,Mateo,Marko,Luka,Yohane,Apostolo Ʋoŋkɔwo (Acts),Roma,1 Korintɔwo,2 Korintɔwo,Galatiawo,Efesiawo,Filipiawo,Kolosiawo,1 Tesalonika,2 Tesalonika,1 Timoteo,2 Timoteo,Tito,Filemon,Hebrewɔwo,Yakobo,1 Pɛtɛrɔ,2 Pɛtɛrɔ,1 Yohane,2 Yohane,3 Yohane,Yuda,Apokalipsis
Ewe  2014,ewe,ewe,ewe,Ewe2014Bible.xml,0.00,Genesis,Exodus,Leviticus,Numbers,Deuteronomy,Yosua,Agbalẽwo (Judges),Rute,1 Samuel,2 Samuel,1 Dzikpɔla (Kings),2 Dzikpɔla,1 Kronika,2 Kronika,Ezra,Nehemia,Estere,Yob,Ʋoŋkɔwo (Psalms),Nyanyuiwo (Proverbs),Kɔkɔe (Ecclesiastes),Agbenyawo (Song of Songs),Yesaya,Yeremia,Agbenyawo Yeremia (Lamentations),Ezekiel,Daniel,Hosea,Yoel,Amos,Obadia,Yona,Mika,Nahum,Habakuku,Sefania,Hagai,Zekaria,Malaki,Mateo,Marko,Luka,Yohane,Apostolo Ʋoŋkɔwo (Acts),Roma,1 Korintɔwo,2 Korintɔwo,Galatiawo,Efesiawo,Filipiawo,Kolosiawo,1 Tesalonika,2 Tesalonika,1 Timoteo,2 Timoteo,Tito,Filemon,Hebrewɔwo,Yakobo,1 Pɛtɛrɔ,2 Pɛtɛrɔ,1 Yohane,2 Yohane,3 Yohane,Yuda,Apokalipsis
Ewe  2020,ewe,ewe,ewe,Ewe2020Bible.xml,0.00,Genesis,Exodus,Leviticus,Numbers,Deuteronomy,Yosua,Agbalẽwo (Judges),Rute,1 Samuel,2 Samuel,1 Dzikpɔla (Kings),2 Dzikpɔla,1 Kronika,2 Kronika,Ezra,Nehemia,Estere,Yob,Ʋoŋkɔwo (Psalms),Nyanyuiwo (Proverbs),Kɔkɔe (Ecclesiastes),Agbenyawo (Song of Songs),Yesaya,Yeremia,Agbenyawo Yeremia (Lamentations),Ezekiel,Daniel,Hosea,Yoel,Amos,Obadia,Yona,Mika,Nahum,Habakuku,Sefania,Hagai,Zekaria,Malaki,Mateo,Marko,Luka,Yohane,Apostolo Ʋoŋkɔwo (Acts),Roma,1 Korintɔwo,2 Korintɔwo,Galatiawo,Efesiawo,Filipiawo,Kolosiawo,1 Tesalonika,2 Tesalonika,1 Timoteo,2 Timoteo,Tito,Filemon,Hebrewɔwo,Yakobo,1 Pɛtɛrɔ,2 Pɛtɛrɔ,1 Yohane,2 Yohane,3 Yohane,Yuda,Apokalipsis
Ewe,ewe,ewe,ewe,EweBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mateo,Marko,Luka,Yohane,Apostolo Ʋoŋkɔwo (Acts),Roma,1 Korintɔwo,2 Korintɔwo,Galatiawo,Efesiawo,Filipiawo,Kolosiawo,1 Tesalonika,2 Tesalonika,1 Timoteo,2 Timoteo,Tito,Filemon,Hebrewɔwo,Yakobo,1 Pɛtɛrɔ,2 Pɛtɛrɔ,1 Yohane,2 Yohane,3 Yohane,Yuda,Apokalipsis
Finnish  1776,fin,fin,fin,Finnish1776Bible.xml,1,Ensimmäinen Mooseksen kirja,Toinen Mooseksen kirja,Kolmas Mooseksen kirja,Neljäs Mooseksen kirja,Viides Mooseksen kirja,Joosuan kirja,Tuomarien kirja,Ruutin kirja,Ensimmäinen Samuelin kirja,Toinen Samuelin kirja,Ensimmäinen Kuninkaiden kirja,Toinen Kuninkaiden kirja,Ensimmäinen Aikakirja,Toinen Aikakirja,Esran kirja,Nehemian kirja,Esterin kirja,Jobin kirja,Psalmit,Sananlaskut,Saarnaajan kirja,Laulujen laulu,Jesajan kirja,Jeremian kirja,Valitusvirret,Hesekielin kirja,Danielin kirja,Hoosean kirja,Joelin kirja,Aamoksen kirja,Obadjan kirja,Joonan kirja,Miikan kirja,Nahumin kirja,Habakukin kirja,Sefanjan kirja,Haggain kirja,Sakarjan kirja,Malakian kirja,Matteuksen evankeliumi,Markuksen evankeliumi,Luukkaan evankeliumi,Johanneksen evankeliumi,Apostolien teot,Roomalaiskirje,Ensimmäinen kirje korinttilaisille,Toinen kirje korinttilaisille,Kirje galatalaisille,Kirje efesolaisille,Kirje filippiläisille,Kirje kolossalaisille,Ensimmäinen kirje tessalonikalaisille,Toinen kirje tessalonikalaisille,Ensimmäinen kirje Timoteukselle,Toinen kirje Timoteukselle,Kirje Titukselle,Kirje Filemonille,Kirje heprealaisille,Jaakobin kirje,Ensimmäinen Pietarin kirje,Toinen Pietarin kirje,Ensimmäinen Johanneksen kirje,Toinen Johanneksen kirje,Kolmas Johanneksen kirje,Juudaksen kirje,Johanneksen ilmestys
Finnish  1992,fin,fin,fin,Finnish1992Bible.xml,0.00,Ensimmäinen Mooseksen kirja,Toinen Mooseksen kirja,Kolmas Mooseksen kirja,Neljäs Mooseksen kirja,Viides Mooseksen kirja,Joosuan kirja,Tuomarien kirja,Ruutin kirja,Ensimmäinen Samuelin kirja,Toinen Samuelin kirja,Ensimmäinen Kuninkaiden kirja,Toinen Kuninkaiden kirja,Ensimmäinen Aikakirja,Toinen Aikakirja,Esran kirja,Nehemian kirja,Esterin kirja,Jobin kirja,Psalmit,Sananlaskut,Saarnaajan kirja,Laulujen laulu,Jesajan kirja,Jeremian kirja,Valitusvirret,Hesekielin kirja,Danielin kirja,Hoosean kirja,Joelin kirja,Aamoksen kirja,Obadjan kirja,Joonan kirja,Miikan kirja,Nahumin kirja,Habakukin kirja,Sefanjan kirja,Haggain kirja,Sakarjan kirja,Malakian kirja,Matteuksen evankeliumi,Markuksen evankeliumi,Luukkaan evankeliumi,Johanneksen evankeliumi,Apostolien teot,Roomalaiskirje,Ensimmäinen kirje korinttilaisille,Toinen kirje korinttilaisille,Kirje galatalaisille,Kirje efesolaisille,Kirje filippiläisille,Kirje kolossalaisille,Ensimmäinen kirje tessalonikalaisille,Toinen kirje tessalonikalaisille,Ensimmäinen kirje Timoteukselle,Toinen kirje Timoteukselle,Kirje Titukselle,Kirje Filemonille,Kirje heprealaisille,Jaakobin kirje,Ensimmäinen Pietarin kirje,Toinen Pietarin kirje,Ensimmäinen Johanneksen kirje,Toinen Johanneksen kirje,Kolmas Johanneksen kirje,Juudaksen kirje,Johanneksen ilmestys
Finnish,fin,fin,fin,FinnishBible.xml,0.00,Ensimmäinen Mooseksen kirja,Toinen Mooseksen kirja,Kolmas Mooseksen kirja,Neljäs Mooseksen kirja,Viides Mooseksen kirja,Joosuan kirja,Tuomarien kirja,Ruutin kirja,Ensimmäinen Samuelin kirja,Toinen Samuelin kirja,Ensimmäinen Kuninkaiden kirja,Toinen Kuninkaiden kirja,Ensimmäinen Aikakirja,Toinen Aikakirja,Esran kirja,Nehemian kirja,Esterin kirja,Jobin kirja,Psalmit,Sananlaskut,Saarnaajan kirja,Laulujen laulu,Jesajan kirja,Jeremian kirja,Valitusvirret,Hesekielin kirja,Danielin kirja,Hoosean kirja,Joelin kirja,Aamoksen kirja,Obadjan kirja,Joonan kirja,Miikan kirja,Nahumin kirja,Habakukin kirja,Sefanjan kirja,Haggain kirja,Sakarjan kirja,Malakian kirja,Matteuksen evankeliumi,Markuksen evankeliumi,Luukkaan evankeliumi,Johanneksen evankeliumi,Apostolien teot,Roomalaiskirje,Ensimmäinen kirje korinttilaisille,Toinen kirje korinttilaisille,Kirje galatalaisille,Kirje efesolaisille,Kirje filippiläisille,Kirje kolossalaisille,Ensimmäinen kirje tessalonikalaisille,Toinen kirje tessalonikalaisille,Ensimmäinen kirje Timoteukselle,Toinen kirje Timoteukselle,Kirje Titukselle,Kirje Filemonille,Kirje heprealaisille,Jaakobin kirje,Ensimmäinen Pietarin kirje,Toinen Pietarin kirje,Ensimmäinen Johanneksen kirje,Toinen Johanneksen kirje,Kolmas Johanneksen kirje,Juudaksen kirje,Johanneksen ilmestys
Finnish FINRK,fin,fin,fin,FinnishFINRKBible.xml,0.00,Ensimmäinen Mooseksen kirja,Toinen Mooseksen kirja,Kolmas Mooseksen kirja,Neljäs Mooseksen kirja,Viides Mooseksen kirja,Joosuan kirja,Tuomarien kirja,Ruutin kirja,Ensimmäinen Samuelin kirja,Toinen Samuelin kirja,Ensimmäinen Kuninkaiden kirja,Toinen Kuninkaiden kirja,Ensimmäinen Aikakirja,Toinen Aikakirja,Esran kirja,Nehemian kirja,Esterin kirja,Jobin kirja,Psalmit,Sananlaskut,Saarnaajan kirja,Laulujen laulu,Jesajan kirja,Jeremian kirja,Valitusvirret,Hesekielin kirja,Danielin kirja,Hoosean kirja,Joelin kirja,Aamoksen kirja,Obadjan kirja,Joonan kirja,Miikan kirja,Nahumin kirja,Habakukin kirja,Sefanjan kirja,Haggain kirja,Sakarjan kirja,Malakian kirja,Matteuksen evankeliumi,Markuksen evankeliumi,Luukkaan evankeliumi,Johanneksen evankeliumi,Apostolien teot,Roomalaiskirje,Ensimmäinen kirje korinttilaisille,Toinen kirje korinttilaisille,Kirje galatalaisille,Kirje efesolaisille,Kirje filippiläisille,Kirje kolossalaisille,Ensimmäinen kirje tessalonikalaisille,Toinen kirje tessalonikalaisille,Ensimmäinen kirje Timoteukselle,Toinen kirje Timoteukselle,Kirje Titukselle,Kirje Filemonille,Kirje heprealaisille,Jaakobin kirje,Ensimmäinen Pietarin kirje,Toinen Pietarin kirje,Ensimmäinen Johanneksen kirje,Toinen Johanneksen kirje,Kolmas Johanneksen kirje,Juudaksen kirje,Johanneksen ilmestys
Finnish STLK,fin,fin,fin,FinnishSTLKBible.xml,0.00,Ensimmäinen Mooseksen kirja,Toinen Mooseksen kirja,Kolmas Mooseksen kirja,Neljäs Mooseksen kirja,Viides Mooseksen kirja,Joosuan kirja,Tuomarien kirja,Ruutin kirja,Ensimmäinen Samuelin kirja,Toinen Samuelin kirja,Ensimmäinen Kuninkaiden kirja,Toinen Kuninkaiden kirja,Ensimmäinen Aikakirja,Toinen Aikakirja,Esran kirja,Nehemian kirja,Esterin kirja,Jobin kirja,Psalmit,Sananlaskut,Saarnaajan kirja,Laulujen laulu,Jesajan kirja,Jeremian kirja,Valitusvirret,Hesekielin kirja,Danielin kirja,Hoosean kirja,Joelin kirja,Aamoksen kirja,Obadjan kirja,Joonan kirja,Miikan kirja,Nahumin kirja,Habakukin kirja,Sefanjan kirja,Haggain kirja,Sakarjan kirja,Malakian kirja,Matteuksen evankeliumi,Markuksen evankeliumi,Luukkaan evankeliumi,Johanneksen evankeliumi,Apostolien teot,Roomalaiskirje,Ensimmäinen kirje korinttilaisille,Toinen kirje korinttilaisille,Kirje galatalaisille,Kirje efesolaisille,Kirje filippiläisille,Kirje kolossalaisille,Ensimmäinen kirje tessalonikalaisille,Toinen kirje tessalonikalaisille,Ensimmäinen kirje Timoteukselle,Toinen kirje Timoteukselle,Kirje Titukselle,Kirje Filemonille,Kirje heprealaisille,Jaakobin kirje,Ensimmäinen Pietarin kirje,Toinen Pietarin kirje,Ensimmäinen Johanneksen kirje,Toinen Johanneksen kirje,Kolmas Johanneksen kirje,Juudaksen kirje,Johanneksen ilmestys
Fon,fon,—,—,FonBible.xml,1.00,Genesis,Exodus,Levitikus,Nɔmba,Duteronɔmi,Yosua,Agbanɔ (Judges),Ruti,1 Samuel,2 Samuel,1 Hɛnɔ (Kings),2 Hɛnɔ,1 Kronika,2 Kronika,Ezra,Nehemia,Estere,Yobɔ,Sɔmɛ (Psalms),Sɔgbɔ (Proverbs),Eklesiasi,Agbenɔ (Song of Songs),Yesaya,Yeremia,Agbenɔ Yeremia (Lamentations),Ezekiel,Daniel,Hosɛ,Yoel,Amɔs,Obadia,Yona,Mika,Nahum,Habakuku,Sefania,Hagai,Zekaria,Malaki,Matɛo,Marku,Luka,Yohanu,Apostolo Sɔmɛ (Acts),Roma,1 Korinto,2 Korinto,Galatia,Efɛsi,Filipi,Kolosi,1 Tesalonika,2 Tesalonika,1 Timote,2 Timote,Titu,Filemon,Hebru,Yakɔbu,1 Pɛtɛrɔ,2 Pɛtɛrɔ,1 Yohanu,2 Yohanu,3 Yohanu,Yuda,Apokalipsi
French  2004,fra,fra,fre,French2004Bible.xml,1,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French BBB,fra,fra,fre,FrenchBBBBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French BDS,fra,fra,fre,FrenchBDSBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French BFC,fra,fra,fre,FrenchBFCBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French,fra,fra,fre,FrenchBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French Crampon,fra,fra,fre,FrenchCramponBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French Darby,fra,fra,fre,FrenchDarbyBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French Jerusalem,fra,fra,fre,FrenchJerusalemBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French Leon,fra,fra,fre,FrenchLeonBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French Machaira,fra,fra,fre,FrenchMachairaBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French Martin,fra,fra,fre,FrenchMartinBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French NBS,fra,fra,fre,FrenchNBSBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French NEG 79,fra,fra,fre,FrenchNEG79Bible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
French NFC,fra,fra,fre,FrenchNFCBible.xml,0.00,Genèse,Exode,Lévitique,Nombres,Deutéronome,Josué,Juges,Ruth,1 Samuel,2 Samuel,1 Rois,2 Rois,1 Chroniques,2 Chroniques,Esdras,Néhémie,Esther,Job,Psaumes,Proverbes,Ecclésiaste,Cantique des Cantiques,Ésaïe,Jérémie,Lamentations,Ézéchiel,Daniel,Osée,Joël,Amos,Abdias,Jonas,Michée,Nahum,Habacuc,Sophonie,Aggée,Zacharie,Malachie,Matthieu,Marc,Luc,Jean,Actes des Apôtres,Romains,1 Corinthiens,2 Corinthiens,Galates,Éphésiens,Philippiens,Colossiens,1 Thessaloniciens,2 Thessaloniciens,1 Timothée,2 Timothée,Tite,Philémon,Hébreux,Jacques,1 Pierre,2 Pierre,1 Jean,2 Jean,3 Jean,Jude,Apocalypse
